,Unnamed: 0,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,date_stamp,last_change,listing_date,delisting_date,month,new_listing_count,listing_count,year_id,month_id
62,62,NK-XznRvgjAxsdunNFNsGzTBq,LegalEntity,OPK OBORONPROM,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
63,63,NK-Y2cRUeLzdU7urKuzLAebbE,LegalEntity,Sovcombank,,,,,,"""""",,,EU Sanctions Map,20220722,,20220722,,2022-07,12,12,2022,1
64,64,NK-Y6qXTPJUDa6PaygWwsXdeD,Vessel,SAM JONG 2,,,,,7408873,DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
65,65,NK-YaBT55deyV2Auvu8ktCrR6,LegalEntity,RT - Russia Today France,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
66,66,NK-ZSSebjH9yRgcpaf5Y5CWNp,Person,Abdulqader Mohammed AL-BAGHDADI,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
67,67,NK-ZWWcQbDKhHMuSE2LyYNvz7,Vessel,CHON MYONG 1,,,,,8712362,"DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
68,68,NK-aeTaysGUfbjfo396aeguRU,Vessel,NAM SAN 8,,,,,8122347,DPRK crude oil tanker M/V NAM SAN 8 is believed to have been involved in ship-to-ship transfer operations for oil.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
69,69,NK-agq8hUDZPSnPkHKdywSEDg,Vessel,RYE SONG GANG 1,,,,,7389704,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
70,70,NK-b3fcbf4CHMfChZi52uVcjS,LegalEntity,Vnesheconombank (VEB),VNESHECONOMBANK (VEB),,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
71,71,NK-bDe5cvQi3uyQP8rtMyrhAd,LegalEntity,RT Arabic,,,,,,"""""",,,EU Sanctions Map,20230421,,20230421,,2023-04,2,2,2023,8
72,72,NK-bNhmBeiMaLGxdc5447NnHx,LegalEntity,Development Bank of the Republic of Belarus,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
73,73,NK-br7DwNe6v8ZDccc9FcDbXF,LegalEntity,Novorossiysk Commercial Sea Port,NOVOROSSIYSK COMMERCIAL SEA PORT,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
74,74,NK-cDtAzPbNaYCiiQfCtHQtY6,LegalEntity,JSC PO Sevmash,JSC PO SEVMASH,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
